GTS_DEGREE_ID,GTS_DEGREE_NAME,GTS_DEGREE_DESCRIPTION,GTS_DEGREE_STATUS
1,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
2,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
3,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",TRUE
4,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
5,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
6,Bachelor of Science,"A bachelor's degree focusing on science, technology, engineering, or mathematics fields.",TRUE
7,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
8,Master of Arts,"A graduate-level degree focusing on advanced study in the humanities, arts, and social sciences.",FALSE
9,Engineering Degree,"A degree focusing on the principles of engineering, including mechanical, civil, electrical, and software engineering.",TRUE
10,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
11,Master of Business Administration,"A graduate-level degree focusing on business management, leadership, and organizational strategies.",FALSE
12,Doctor of Philosophy,"A doctoral degree that typically requires extensive research, academic writing, and original contributions to knowledge.",FALSE
13,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",TRUE
14,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
15,Master of Science,"A graduate-level degree focusing on advanced knowledge and research in science, technology, and engineering.",FALSE
16,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",TRUE
17,Associate Degree,"A two-year degree typically awarded by community colleges, often a stepping stone to a bachelor's degree.",FALSE
18,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",FALSE
19,Bachelor of Arts,"A bachelor's degree focusing on humanities, social sciences, or fine arts.",TRUE
20,Doctor of Education,"A doctoral degree that focuses on education theory, practice, and leadership in educational settings.",FALSE
