GTS_LANGUAGE_ID,GTS_LANGUAGE_NAME,GTS_LANGUAGE_DESCRIPTION,GTS_LANGUAGE_STATUS
1,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,FALSE
2,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
3,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",FALSE
4,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
5,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",FALSE
6,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",TRUE
7,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
8,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
9,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
10,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
11,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
12,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
13,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
14,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
15,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
16,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",FALSE
17,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
18,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
19,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",FALSE
20,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
21,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
22,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
23,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
24,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
25,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
26,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
27,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
28,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
29,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
30,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
31,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
32,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",FALSE
33,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
34,Spanish,"Spanish is widely spoken across Europe, Latin America, and parts of the United States, known for its rich cultural history.",TRUE
35,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
36,Hindi,"Hindi is one of the official languages of India, spoken by millions and recognized as an important cultural and literary language.",TRUE
37,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
38,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
39,English,"English is the official language in many countries and a global lingua franca, used for international business, diplomacy, and technology.",TRUE
40,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
41,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,TRUE
42,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
43,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
44,French,"French is an official language in numerous international organizations and is spoken across Europe, Africa, and parts of North America.",FALSE
45,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
46,Portuguese,"Portuguese is spoken in several countries including Portugal, Brazil, and parts of Africa, with a rich history in exploration and colonization.",TRUE
47,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
48,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
49,Arabic,Arabic is the official language of many Middle Eastern and North African countries and is crucial for religious and cultural studies.,TRUE
50,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
51,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
52,Mandarin,"Mandarin is the most spoken language globally, primarily used in China and other regions with significant Chinese-speaking populations.",TRUE
53,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
54,Japanese,Japanese is spoken primarily in Japan and is known for its unique writing system and cultural significance.,FALSE
55,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",TRUE
56,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
57,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,FALSE
58,Bengali,"Bengali is the primary language of Bangladesh and the second most spoken language in India, with a rich literary tradition.",FALSE
59,Russian,Russian is the most widely spoken language in Russia and one of the six official languages of the United Nations.,TRUE
