GTS_CITY_ID,GTS_CITY_NAME,GTS_CITY_DESCRIPTION,GTS_CITY_STATUS,GTS_COUNTRY_ID,GTS_STATE_ID
1,Toronto,Toronto is a major city known for its culture.,FALSE,15,28
2,Buenos Aires,Buenos Aires is a major city known for its culture.,FALSE,30,27
3,Medellín,Medellín is a major city known for its culture.,TRUE,17,17
4,Moscow,Moscow is a major city known for its culture.,TRUE,1,2
5,Kuala Lumpur,Kuala Lumpur is a major city known for its culture.,FALSE,20,11
6,Manila,Manila is a major city known for its culture.,TRUE,30,7
7,Istanbul,Istanbul is a major city known for its culture.,TRUE,15,9
8,London,London is a major city known for its culture.,FALSE,3,6
9,Seoul,Seoul is a major city known for its culture.,FALSE,11,21
10,Lagos,Lagos is a major city known for its culture.,FALSE,17,7
11,Manila,Manila is a major city known for its culture.,TRUE,25,27
12,Jakarta,Jakarta is a major city known for its culture.,TRUE,20,17
13,Moscow,Moscow is a major city known for its culture.,TRUE,23,6
14,São Paulo,São Paulo is a major city known for its culture.,TRUE,6,23
15,Bangkok,Bangkok is a major city known for its culture.,FALSE,20,8
16,Seoul,Seoul is a major city known for its culture.,TRUE,7,24
17,Kuala Lumpur,Kuala Lumpur is a major city known for its culture.,TRUE,18,26
18,Hanoi,Hanoi is a major city known for its culture.,FALSE,14,29
19,Istanbul,Istanbul is a major city known for its culture.,FALSE,28,30
20,Lagos,Lagos is a major city known for its culture.,FALSE,9,8
21,Tokyo,Tokyo is a major city known for its culture.,TRUE,13,18
22,Guangzhou,Guangzhou is a major city known for its culture.,FALSE,24,19
23,Cape Town,Cape Town is a major city known for its culture.,FALSE,14,15
24,Mumbai,Mumbai is a major city known for its culture.,FALSE,22,20
25,São Paulo,São Paulo is a major city known for its culture.,TRUE,5,21
26,Manila,Manila is a major city known for its culture.,TRUE,27,10
27,Munich,Munich is a major city known for its culture.,TRUE,13,6
28,Toronto,Toronto is a major city known for its culture.,FALSE,21,28
29,São Paulo,São Paulo is a major city known for its culture.,FALSE,21,17
30,Istanbul,Istanbul is a major city known for its culture.,FALSE,8,28
31,Cairo,Cairo is a major city known for its culture.,FALSE,3,26
32,Riyadh,Riyadh is a major city known for its culture.,FALSE,26,17
33,Lagos,Lagos is a major city known for its culture.,FALSE,5,6
34,Warsaw,Warsaw is a major city known for its culture.,TRUE,28,17
35,Kuala Lumpur,Kuala Lumpur is a major city known for its culture.,FALSE,17,13
36,Milan,Milan is a major city known for its culture.,TRUE,13,20
37,Stockholm,Stockholm is a major city known for its culture.,FALSE,14,23
38,Cairo,Cairo is a major city known for its culture.,FALSE,23,30
39,Cairo,Cairo is a major city known for its culture.,FALSE,11,26
40,Kuala Lumpur,Kuala Lumpur is a major city known for its culture.,FALSE,1,20
41,Riyadh,Riyadh is a major city known for its culture.,FALSE,20,8
42,Tokyo,Tokyo is a major city known for its culture.,TRUE,7,29
43,Munich,Munich is a major city known for its culture.,FALSE,28,13
44,Bangkok,Bangkok is a major city known for its culture.,TRUE,21,4
45,London,London is a major city known for its culture.,FALSE,29,22
46,Manila,Manila is a major city known for its culture.,TRUE,6,28
47,Sydney,Sydney is a major city known for its culture.,FALSE,25,28
48,Manila,Manila is a major city known for its culture.,TRUE,4,15
49,Guadalajara,Guadalajara is a major city known for its culture.,TRUE,14,15
50,Istanbul,Istanbul is a major city known for its culture.,TRUE,17,24
51,Cape Town,Cape Town is a major city known for its culture.,FALSE,1,29
52,Milan,Milan is a major city known for its culture.,FALSE,17,2
53,Guadalajara,Guadalajara is a major city known for its culture.,FALSE,22,3
54,Kuala Lumpur,Kuala Lumpur is a major city known for its culture.,FALSE,18,27
55,Riyadh,Riyadh is a major city known for its culture.,FALSE,16,9
56,Guadalajara,Guadalajara is a major city known for its culture.,TRUE,15,1
